Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:fr,Short name:fr,Description:fr,Fully specified name:es,Short name:es,Description:es,Data class,Data type,Complex data handler,Answers,Members,Allow decimals,Units,Normal low,Normal high,Absolute low,Absolute high,_version:1,_order:1200
9bb0795c-4ff0-0305-1990-000000000001,,,Other generic,Other,,,,,Otro generico,Otro,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000002,,,Chief Complaint Coded,Chief Complaint,,,,,Motivo principal de consulta codificado,Motivo principal de consulta,,Misc,Coded,,CIEL:151;CIEL:116688;CIEL:135595;CIEL:121537;CIEL:120749;CIEL:145063;CIEL:996;CIEL:113054;CIEL:143264;CIEL:119558;CIEL:118789;CIEL:135677;CIEL:133499;CIEL:156436;CIEL:135367;CIEL:118690;CIEL:140474;CIEL:140238;CIEL:166217;CIEL:166216;CIEL:147132;CIEL:139446;CIEL:139084;CIEL:117698;CIEL:139059;CIEL:117658;CIEL:138905;CIEL:138662;CIEL:123403;CIEL:140414;CIEL:112234;CIEL:116616;CIEL:5312;CIEL:115918;CIEL:146931;CIEL:163894;CIEL:135367;CIEL:121657;CIEL:133473;CIEL:115397;CIEL:115036;CIEL:110593;CIEL:136245;CIEL:148031;CIEL:130987;CIEL:129510;CIEL:144471;CIEL:126474;CIEL:158818;CIEL:141600;CIEL:110708;CIEL:140941;CIEL:131028;CIEL:111725;CIEL:122983;CIEL:122936;CIEL:122863;Other generic;,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000003,,,Chief Complaint Duration,Units,The units which correspond to the numeric value entered for a duration,,,,Duracion del motivo de consulta,Unidades,Las unidades que corresponden al valor numerico ingresado para una duracion,Misc,Coded,,CIEL:1822;CIEL:1072;CIEL:1073;CIEL:1074;CIEL:1734,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000005,,,Image,,,,,,Imagen,Imagen,,Image,Complex,ImageUrlHandler,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000006,,,Consultation Images,,,,,,Imagenes de consulta,Imagenes de consulta,,Misc,N/A,,,9bb0795c-4ff0-0305-1990-000000000005,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000007,,,Patient Video,,,,,,Video del paciente,Video del paciente,,Video,Complex,VideoUrlHandler,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000008,,,Range of Motion,,,,,,Rango de movimiento,Rango de movimiento,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000009,,,Radiographic Examination,,,,,,Examen radiografico,Examen radiografico,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000013,,,Duration of smoking (years),Duration of smoking (in years),"For how long some one is smoking/smoked cigarettes or other forms of tobacco, measured in years.",,,,Duracion del tabaquismo (anos),Duracion del tabaquismo (en anos),"Durante cuanto tiempo una persona fuma o fumo cigarrillos u otras formas de tabaco, medido en anos.",Finding,Numeric,,,,TRUE,,,,0,120,,
9bb0795c-4ff0-0305-1990-000000000014,,,Liters of alcohol consumed (per day),Liters of alcohol consumed per day,Amount of alcohol consumed per day measured in liter.,,,,Litros de alcohol consumidos (por dia),Litros de alcohol consumidos por dia,Cantidad de alcohol consumida por dia medida en litros.,Finding,Numeric,,,,TRUE,,,,0,,,
9bb0795c-4ff0-0305-1990-000000000015,,,ACD - Active Case Detection,,,,,,ACD - Deteccion activa de casos,ACD - Deteccion activa de casos,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000016,,,PCD - Passive Case Detection,,,,,,PCD - Deteccion pasiva de casos,PCD - Deteccion pasiva de casos,,Misc,N/A,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000017,,,"Malaria, Source",Source,,,,,"Malaria, fuente",Fuente,,Misc,Coded,,9bb0795c-4ff0-0305-1990-000000000015;9bb0795c-4ff0-0305-1990-000000000016;,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000018,,,Foot examination,Foot examination,,,,,Examen de pie,Examen de pie,,Misc,Text,,,,,,,,,,,
9bb0795c-4ff0-0305-1990-000000000019,,,Last eye exam date,Last eye exam date,,,,,Fecha del ultimo examen ocular,Fecha del ultimo examen ocular,,Misc,Date,,,,,,,,,,,
