Uuid,Void/Retire,Same as mappings,Fully specified name:en,Short name:en,Description:en,Fully specified name:es,Short name:es,Description:es,Data class,Data type,Answers,Members,_version:1,_order:3000
d462489d-5e07-11ef-8f7c-0242ac120002,,,Drug Routes,drug routes,,Rutas de administracion de medicamentos,rutas de medicamentos,,ConvSet,N/A,,,,
d4627331-5e07-11ef-8f7c-0242ac120002,,,Intramuscular,IM,,Intramuscular,IM,,Misc,N/A,,,,
d4631c91-5e07-11ef-8f7c-0242ac120002,,,Intravenous,IV,,Intravenosa,IV,,Misc,N/A,,,,
d4634f75-5e07-11ef-8f7c-0242ac120002,,,Oral,PO,,Oral,PO,,Misc,N/A,,,,
d46382f3-5e07-11ef-8f7c-0242ac120002,,,Per Vaginal,PV,,Por la vagina,PV,,Misc,N/A,,,,
d463b632-5e07-11ef-8f7c-0242ac120002,,,Sub Cutaneous,SC,,Subcutanea,SC,,Misc,N/A,,,,
d463e5fc-5e07-11ef-8f7c-0242ac120002,,,Per Rectum,PR,,Rectal,PR,,Misc,N/A,,,,
d464141a-5e07-11ef-8f7c-0242ac120002,,,Sub Lingual,SL,,Sublingual,SL,,Misc,N/A,,,,
d464733f-5e07-11ef-8f7c-0242ac120002,,,Nasogastric,NG,,Nasogastrica,NG,,Misc,N/A,,,,
d55f8c66-5e07-11ef-8f7c-0242ac120002,,,Intradermal,ID,,Intradermica,ID,,Misc,N/A,,,,
d55fdd24-5e07-11ef-8f7c-0242ac120002,,,Intraperitoneal,IP,,Intraperitoneal,IP,,Misc,N/A,,,,
d5602ce2-5e07-11ef-8f7c-0242ac120002,,,Intrathecal,IT,,Intratecal,IT,,Misc,N/A,,,,
d5607904-5e07-11ef-8f7c-0242ac120002,,,Intraosseous,IO,,Intraosea,IO,,Misc,N/A,,,,
d5d3db65-5e07-11ef-8f7c-0242ac120002,,,Topical,TOPIC,,Topica,TOPIC,,Misc,N/A,,,,
d5d40e6d-5e07-11ef-8f7c-0242ac120002,,,Nasal,NASAL,,Nasal,NASAL,,Misc,N/A,,,,
d5d43f88-5e07-11ef-8f7c-0242ac120002,,,Inhalation,RESPIR,,Inhalacion,RESPIR,,Misc,N/A,,,,
