Concept,Member,Member Type,Sort Weight,_version:1,_order:3100
d32a6beb-5e07-11ef-8f7c-0242ac120002,0166bbd5-8609-4c78-b830-53512a4cbbd3,CONCEPT-SET,1,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:159994,CONCEPT-SET,2,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:1001,CONCEPT-SET,3,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:1004,CONCEPT-SET,4,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:1002,CONCEPT-SET,5,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:163368,CONCEPT-SET,6,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:159995,CONCEPT-SET,7,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:159993,CONCEPT-SET,8,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:160013,CONCEPT-SET,9,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:169081,CONCEPT-SET,10,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:163370,CONCEPT-SET,11,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:169083,CONCEPT-SET,12,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,4a716a48-08db-4ecb-b1ae-5b528f369d88,CONCEPT-SET,13,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:163350,CONCEPT-SET,14,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,SNOMED-CT:119376003,CONCEPT-SET,15,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,CIEL:163364,CONCEPT-SET,16,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,SNOMED-CT:258524009,CONCEPT-SET,17,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,SNOMED-CT:119325001,CONCEPT-SET,18,,
d32a6beb-5e07-11ef-8f7c-0242ac120002,8578dd94-a066-4851-bb9f-1c7c03360d8b,CONCEPT-SET,19,,
